,CLASS,REGION-CENTROID-COL,REGION-CENTROID-ROW,VEDGE-MEAN,HEDGE-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,SATURATION-MEAN,HUE-MEAN,1,2
0,BRICKFACE,0.2307243735629211,0.03594919708793688,-0.8883955865404125,-0.6099372018936015,1.4095842860894967,-0.9226752406006885,0.13469913862950833,0.4719385731843882,0.22775438925289412,-1.8004807807749885,-0.042888696386975234
1,BRICKFACE,0.9065998186241085,0.18228552431766545,-0.8519460277745987,-0.6816478801534545,1.549049451829504,-0.9823397804386235,0.09371006120163143,0.4418872160305798,0.36482432192092645,-1.768881918071151,-0.04944210373930208
2,BRICKFACE,-0.26210147179419474,0.2920377697399619,-0.8883956390278862,-0.5382266311997123,1.4892786831627907,-0.9823397804386235,0.15519372345620508,0.41653150856333115,0.3362077493739539,-1.8055176540080524,-0.05247921284274929
3,BRICKFACE,-1.1914302087533275,-0.22013937556408814,-0.5967985587344935,-0.5143230430955043,1.3597752957636036,-0.8988094386270135,0.14494643565413243,0.5455644961863466,0.19021389696818294,-1.806902418353102,-0.03734475973216334
4,BRICKFACE,-1.5152871928451463,0.0908253197990851,-0.7425971284053939,-0.6099372018936015,1.4593932764153903,-0.9823397804386235,0.1859355315271126,0.5395543610688062,0.3223860729552736,-1.837332696132278,-0.05032346331724558
5,BRICKFACE,-1.374479808457399,-1.0249891753275953,-0.41455041717591107,0.15497639118906756,0.9812270015630379,-0.21266745065285717,-0.6440941625298011,0.008917917081440787,-0.12110014474490685,-0.9454035299587865,0.0566889765447144
6,BRICKFACE,-1.543448669722696,-0.23843141646780422,0.05929494901661708,0.2505904854475866,1.3597752957636036,-0.5945204003674194,-0.377664882572052,-0.28113480747184905,0.07240173873105725,-1.0880190242440508,-0.015501937699452451
7,BRICKFACE,-1.5856908850390201,-0.27501549827523636,-0.1958525003406854,-0.2991911589082944,1.4593932764153903,-0.6064532932995462,-0.45964303742780543,-0.196330390973471,0.10229418273799343,-1.1038292515208326,-0.012766654927738902
8,BRICKFACE,-0.5437162405696895,-0.40305978460124886,-0.1958525659500277,-0.3469982490639395,1.0808449804217009,-0.2782983617795547,-0.6338467087217988,-0.12802149295724,-0.07615046653447348,-0.8718350481717583,0.038168201530875266
9,BRICKFACE,-1.487125715967597,0.4017900151622583,-0.8154963509119689,-0.6338407899978095,1.5390876645230662,-1.1494004468784609,0.3908811492302884,0.7057762364980833,0.6110461531515174,-1.9308278528395038,-0.07302237347370913
10,BRICKFACE,-1.4167220237737232,-1.2444936661721882,0.38734113537136217,-0.13186649395588596,0.6226022909409649,0.07372230190661849,-0.7670613948134318,0.0009564582027246113,-0.22404891396141266,-0.7265805013437937,0.09853418539429319
11,BRICKFACE,1.0192457261343064,0.10911736070280117,-0.5238993755935238,-0.6099372234067942,1.5191640450821033,-1.0002391359462353,0.15519372345620508,0.4484610063176948,0.3592821726424612,-1.7872845640542976,-0.0520369845860428
12,BRICKFACE,-0.6141199327635631,-0.12867917104550777,-0.08650370594642816,-0.22748041610886335,0.9712652142566002,-0.21863389711892064,-0.6235994393648298,-0.1170652326092234,-0.1273903026461438,-0.8447115263934272,0.04671316183148409
13,BRICKFACE,-0.050890395212573665,0.23716164702881368,-0.6696978271676083,-0.4665159099134738,1.5092022398444307,-1.0062055931519132,0.17568824372504016,0.4033838001954556,0.36497092342857995,-1.7932059360715935,-0.05465948293448306
14,BRICKFACE,0.3152088041955695,0.01765715618422081,-0.7425971940147362,-0.7294550348486777,1.4793168779251178,-0.9525075212592704,0.11420459991556992,0.5480062919564764,0.2953066523530965,-1.8083377450261755,-0.04482426446994432
15,BRICKFACE,-1.4167220237737232,-0.695732439060706,-0.12295330407784728,-0.13186619277118797,1.3498134994915483,-0.528889381844578,-0.48013757614174396,-0.14949389234039173,0.04333790286586062,-1.082338980595816,0.0009607619642285315
16,BRICKFACE,0.2025628966853716,-0.12867917104550777,-0.6696978665332135,-0.7055514037180843,1.389660702511004,-0.8809100831194017,0.08346269961914572,0.5295999177006907,0.17957008480169026,-1.7807207351327954,-0.034318149392965534
17,BRICKFACE,1.4839100946138728,0.01765715618422081,-0.48744961343874926,-0.5143230430955043,1.4295078875992246,-0.9644404195612044,0.1859355315271126,0.4728778564740738,0.2863084368916407,-1.8166705727898294,-0.04860705895722125
18,BRICKFACE,-1.430802762212498,-0.12867917104550777,-0.8154964886915878,-0.7533585584133075,1.4095842860894967,-0.9405746175875291,0.1654410112582775,0.5987181328697901,0.24319694815946905,-1.8320009897381853,-0.04305560992911343
